Date,Win Type,Artist,Template used,Outreach type,Linking URL,Point for,Domain Authority,Page Authority
Tue Jun 23 2015 00:00:00 GMT-0400 (EDT),Initial,Tracey Emin,Supplemental-7,Ontolo,http://meetthemakers.co.uk/laurageeinterview/,Rachel,12,15
Sun May 24 2015 00:00:00 GMT-0400 (EDT),Follow-up,Banksy,Supplemental-7,Taktical (standard),http://www.myjurassiccoast.com/origami-crane-not-swan-banksy-update/,Nicholas,16,1
Sun May 24 2015 00:00:00 GMT-0400 (EDT),Initial,Bill Viola,Supplemental-7,Taktical (standard),http://blog.flashicon.com/itp-course-work/recurring-concepts-in-art/in-and-out-of-time/,Nicholas,15,1
Thu Jan 01 2015 00:00:00 GMT-0500 (EST),Initial,Claude Monet,Supplemental-other (old),Primary,http://www.sullivansfarms.net/s1dneycom/links.htm,Mariko,20,
Thu Jan 01 2015 00:00:00 GMT-0500 (EST),Initial,Claude Monet,Supplemental-other (old),Primary,http://aknextphase.com/notorious-art-heists-thieves-love-rembrandt/,Mariko,14,
Thu Jan 01 2015 00:00:00 GMT-0500 (EST),Initial,David Hockney,Supplemental-other (old),Primary,http://snjallskoli.is/2014/12/skrimsli-i-skolanum/,Mariko,21,
Fri Jan 02 2015 00:00:00 GMT-0500 (EST),Follow-up,Gerhard Richter,Supplemental-other (old),Primary,http://www.chaosss.info/xaoc/richter.html,Anthony,26,
Fri Jan 02 2015 00:00:00 GMT-0500 (EST),Initial,Jean Paul Gaultier,Supplemental-other (old),Primary,http://www.bolsalea.com/blog/2013/09/la-eleccion-del-maniqui/,Anthony,29,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Initial,Egon Schiele,Supplemental *,Primary,http://www.boehman.org/interviews,Nicholas,15,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Initial,Egon Schiele,Supplemental *,Primary,http://www.freecoffeewithaubrey.com/coffee-with-aubrey/archives/02-2014,Nicholas,13,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Initial,Egon Schiele,Supplemental *,Primary,http://www.ap-artlier.be/inspired-by.html,Nicholas,15,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Follow-up,Banksy,Supplemental *,Primary,http://lifesmytrip.com/2012/07/sharaku-who/,Nicholas,19,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Follow-up,Sally Mann,Supplemental *,Primary,http://www.andabankovska.com/favorite-links/,Nicholas,13,
Sat Jan 03 2015 00:00:00 GMT-0500 (EST),Initial,Sally Mann,Supplemental *,Primary,http://vedonudo.site50.net/Links/,Nicholas,55,29
Sun Jan 04 2015 00:00:00 GMT-0500 (EST),Initial,Pablo Picasso,Supplemental,Primary,www.lankskafferiet.org/v2/cgi-bin/search.cgi?mode=keywords;pattern=Pablo%20Picasso ,Jack,,
Sun Jan 04 2015 00:00:00 GMT-0500 (EST),Initial,Pablo Picasso,Supplemental,Primary,josephparis.typepad.com/blog/2009/11/xonitek-2009-may-absinthe-the-green-fairy-and-operational-excellence.html ,Jack,,
Sun Jan 04 2015 00:00:00 GMT-0500 (EST),Initial,Pablo Picasso,Supplemental,Primary,pagnes.weebly.com/famous-painters.html ,Jack,,
Sun Jan 04 2015 00:00:00 GMT-0500 (EST),Initial,Pablo Picasso,Supplemental,Primary,www.insightcruises.com/top_g/mm16_post-cruise_barcelona.html ,Jack,,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://tedxtaipei.com/2013/01/4-efforts-to-diffuse-conflict-in-israel-with-art/,Theo,46,1
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.harmonywishes.biz/blog/harmonywishes/wrinkles-art-cuba-and-so-much-more,Theo,16,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,Zaria Forman,Supplemental-1,Primary,http://www.trailblazecity.com/art-fashion/zaria-forman-creating-masterpieces-fingers/,Theo,1,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Follow-up,JR,Supplemental *,Primary,http://www.lamemoirevive.net/2013/05/inside-out-peoples-art-project.html#.VKq4g6TF-Ac,Theo,24,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Follow-up,JR,Supplemental *,Primary,http://www.orlean.com.br/blog/index.php/2013/05/sempre-cabe-mais-um-times-square/,Theo,27,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,Zaria Forman,Supplemental-1,Primary,http://blog.iwjournal.com/2014/12/arte-zaria-forman.html#.VKq80qTF-Ad,Theo,25,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.berlin-du-bist-wunderbar.de/2013/05/streetart-berlin-11-wrinkles-of-city.html,Theo,26,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.thecandidproject.com/2013/10/autumn-art.html,Theo,1,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,Zaria Forman,Supplemental-1,Primary,http://www.mamzette.com/blog,Theo,25,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://juanrojodesign.com/art-merges-surroundings/,Theo,25,
Mon Jan 05 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://juanrojodesign.com/old-church-covered-thousands-quirky-monochrome-portraits/,Theo,25,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://formulediaz.telequebec.tv/Emissions/6,Theo,69,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Pablo Picasso,Supplemental,Primary,www.espanole.org/artes ,Jack,,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://urbanshit.de/%E2%80%BA%E2%80%BAich-will-mir-ein-bild-von-den-krisen-machen%E2%80%B9%E2%80%B9-interview-jr/,Theo,49,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.muttpop.fr/nos-liens/,Theo,23,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Follow-up,Roy Lichtenstein,Supplemental *,Primary,http://buddhahoodculture.com/beautiful-stairs-around-the-world/,Theo,18,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Follow-up,JR,Supplemental *,Primary,http://www.thenomads.com/jrs-women-are-heroes/,Theo,31,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://pogostick.co.nz/aaron-tomlinson-exhibit-arts-centre/,Theo,33,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Jasper Johns,Supplemental,Primary,http://buffalostopendarts.com/,Theo,13,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://useum.org/artist/Roy-Lichtenstein,Theo,28,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.villagevues.com/blog-archive-3.html,Theo,11,
Tue Jan 06 2015 00:00:00 GMT-0500 (EST),Initial,Zaria Forman,Supplemental-1,Primary,http://www.200thoughtsaday.com/zaria-forman-the-oceans-battles-against-the-skies/,Theo,15,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.abaenglish.com/blog/street-art-and-social-responsibility/,Theo,45,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.megalithes-morbihan.fr/actualite/une-page-sur-lartiste-jr-qui-etait-a-carnac-en-mars-dernier.html,Theo,25,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Follow-up,Peter Doig,Supplemental *,Primary,http://www.caelestis-bio.com/references.html,Theo,21,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Follow-up,JR,Supplemental *,Primary,http://www.kenyanvibe.com/between-us-visual-art-meets-performance-art/,Theo,24,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.urbag.cz/pop-artova-vtipna-tricka-znacky-never-tell-your-taylor/,Theo,28,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.behindmagazine.com/contents/artsy/,Theo,27,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.fleurandolive.com/image-me/obras-que-inspiran/,Theo,14,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.bmwe21fansclub.it/bmwe21/articles.asp?id=2&page=18,Theo,20,
Wed Jan 07 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.bmwe21fansclub.it/bmwe21/directory.asp,Theo,20,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Follow-up,Roy Lichtenstein,Supplemental,Primary,http://miafotodeldia.blogspot.com.es/,Theo,59,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.mmenschenkind.com/2014-05-30-millerntor-gallery/,Theo,30,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://portfolioclass.com/resources.html,Theo,7,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Follow-up,Roy Lichtenstein,Supplemental *,Primary,http://luxuryactivist.com/art/roy-lichtenstein-and-his-pop-art-at-tate-modern-london/,Theo,30,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Initial,Roy Lichtenstein,Supplemental *,Primary,http://www.bmwe21fansclub.it/bmwe21/forum_forum.asp?forum=10&section=13&post=20570&page=last,Theo,20,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Follow-up,JR,Supplemental *,Primary,http://guerraypaz.com/2015/01/03/artsy-una-red-social-para-el-arte/,Theo,36,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.nomoi.co.uk/blogs/blog/12603013-the-power-of-paper-and-glue#.VK7omqTF-Ac,Theo,17,
Thu Jan 08 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.hunkrock.us/2014_01_01_archive.html,Theo,1,
Fri Jan 09 2015 00:00:00 GMT-0500 (EST),Initial,Jasper Johns,Supplemental,Primary,http://jasper-johns-artsy.silk.co/,Theo,54,
Fri Jan 09 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://faces-places.ru/koly-bel-zhizni-traditsionnaya-indiya-v-fotografiyah-dzhoti-bhatt/,Theo,13,
Fri Jan 09 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.the5to9life.com/2013/02/jr-blow-up/,Theo,15,
Fri Jan 09 2015 00:00:00 GMT-0500 (EST),Initial,JR,Supplemental *,Primary,http://www.slowearjournal.com/it/la-guerra-dei-droni/,Theo,23,
Fri Jan 09 2015 00:00:00 GMT-0500 (EST),Follow-up,Zaria Forman,Supplemental-1,Primary,http://heartmade.es/index.php/blog,Theo,15,
Sat Jan 10 2015 00:00:00 GMT-0500 (EST),Follow-up,David Hockney,Supplemental-other (old),Primary,http://www.mon-oeil-new-york.fr/,Mariko,32,
Sat Jan 10 2015 00:00:00 GMT-0500 (EST),Initial,Claude Monet,Supplemental,Primary,http://www.doupe-osamele-vlcice.cz/news/monet-a-jeho-lekniny/,Mariko,13,
Sat Jan 10 2015 00:00:00 GMT-0500 (EST),Follow-up,David Hockney,Reclamation,Primary,http://uberdada.blogspot.in/2007/09/david-hockney.html,Mariko,68,
Sat Jan 10 2015 00:00:00 GMT-0500 (EST),Initial,David Hockney,Supplemental-other (old),Primary,http://www.saltairevillage.info/saltaire_history_0041_David_Hockney_Jonathan_Silver_connection_090713.html,Mariko,47,29
